Code,Name,Cur,Price,+/-,%+/-,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Symbol
MTW,MATTIOLI,GBX,745.00,-42.5,-5.4,,,,,MTW
MIG3,MAVEN GRWTH 3,GBX,54.00,0.0,0.0,,,,,MIG3
MAV4,MAVEN I&G 4,GBX,66.00,0.0,0.0,,,,,MAV4
MIG5,MAVEN I&G VCT5,GBX,32.60,0.0,0.0,,,,,MIG5
MIG1,MAVEN INCOME 1,GBX,43.60,0.0,0.0,,,,,MIG1
MCM,MC MINING,GBX,10.50,-3.0,-22.22,,,,,MCM
MCB,MCBRIDE,GBX,62.00,-3.0,-4.62,,,,,MCB
MCS,MCCARTHY,GBX,109.80,-8.7,-7.34,,,,,MCS
MCLS,MCCOLL'S,GBX,19.00,-5.0,-20.83,,,,,MCLS
MCKS,MCKAY SECS.,GBX,248.00,-12.0,-4.62,,,,,MCKS
MER,MEARS GROUP,GBX,240.00,-30.0,-11.11,,,,,MER
MEI,MEDIA & INC TST,GBX,-,0.0,0.0,,,,,MEI
MDZ,MEDIAZEST,GBX,0.03,0.0,0.0,,,,,MDZ
MGP,MEDICA GROUP P.,GBX,115.00,-8.0,-6.5,,,,,MGP
MDC,MEDICLINIC,GBX,298.10,-37.6,-11.2,,,,,MDC
MGGT,MEGGITT,GBX,399.50,-54.7,-12.04,,,,,MGGT
MIK,MEIKLES,USD,-,0.0,0.0,,,,,MIK
MRO,MELROSE IND,GBX,141.15,-27.2,-16.16,,,,,MRO
MENA,MENA LAND PLC,GBX,145.0,0.0,0.0,,,,,MENA
MHN,MENHADEN PLC,GBX,82.5,-6.5,-7.3,,,,,MHN
MNZS,MENZIES(J),GBX,160.6,-38.0,-19.13,,,,,MNZS
MRC,MERCANTILE INV.,GBX,194.8,-20.2,-9.39,,,,,MRC
MRCH,MERCHANTS TST,GBX,372.0,-34.0,-8.37,,,,,MRCH
MERC,MERCIA ASSET,GBX,18.25,-1.25,-6.41,,,,,MERC
MPH,MEREO BIOPH,GBX,23.5,-2.0,-7.84,,,,,MPH
MTR,METAL TIGER,GBX,1.15,-0.1,-8.0,,,,,MTR
MNRG,METALNRG PLC,GBX,0.45,-0.06,-11.77,,,,,MNRG
MTL,METALS EXPLORE,GBX,0.72,0.0,0.0,,,,,MTL
MTRO,METRO BK,GBX,89.5,-17.9,-16.67,,,,,MTRO
MBH,MICHELMERSH,GBX,106.5,-13.0,-10.88,,,,,MBH
MCRO,MICRO FOCUS,GBX,465.3,-120.6,-20.58,,,,,MCRO
MSYS,MICROSAIC,GBX,0.7,0.0,0.0,,,,,MSYS
MWY,MID WYND INT.,GBX,494.0,-50.0,-9.19,,,,,MWY
MTPH,MIDATECH PHARMA,GBX,32.0,-4.0,-11.11,,,,,MTPH
MCT,MIDDLEFIELD PRF,GBX,86.7,0.0,0.0,,,,,MCT
MIDW,MIDWICH GRP,GBX,466.0,0.0,0.0,,,,,MIDW
MILA,MILA RESOURCES,GBX,1.65,0.0,0.0,,,,,MILA
MIND,MIND GYM PLC,GBX,125.0,7.5,6.38,,,,,MIND
MMX,MINDS+MACH,GBX,6.4,-0.75,-10.49,,,,,MMX
MAFL,MINERAL & FIN,GBX,9.75,0.0,0.0,,,,,MAFL
MMM,"MINING, MINERA.",GBX,3.5,0.0,0.0,,,,,MMM
MIN,MINOAN,GBX,1.38,-0.05,-3.51,,,,,MIN
MIRA,MIRADA,GBX,120.0,-15.0,-11.11,,,,,MIRA
MIRI,MIRRIAD ADVERT.,GBX,7.25,0.0,0.0,,,,,MIRI
TMG,MISSION GRP,GBX,73.0,-3.5,-4.58,,,,,TMG
MAB,MITCHELLS & BUT,GBX,248.0,-37.5,-13.13,,,,,MAB
MTO,MITIE GRP.,GBX,119.5,-14.5,-10.82,,,,,MTO
MIGO,MITON GLOBAL,GBX,237.5,-5.0,-2.06,,,,,MIGO
MINI,MITON UK,GBX,38.5,-3.75,-8.88,,,,,MINI
GLE,MJ GLEESON,GBX,778.0,-52.0,-6.27,,,,,GLE
MKA,MKANGO RES,GBX,5.85,-0.25,-4.1,,,,,MKA
MIX,MOBEUS I&G,GBX,59.75,0.0,0.0,,,,,MIX
MIG,MOBEUS I&G 2,GBX,77.0,0.0,0.0,,,,,MIG
MIG4,MOBEUS I&G 4,GBX,65.5,0.0,0.0,,,,,MIG4
MOS,MOBILE STREAMS,GBX,0.14,0.0,0.0,,,,,MOS
MBT,MOBILE TORNADO,GBX,2.66,0.0,0.0,,,,,MBT
MMIT,MOBIUS INVESTM.,GBX,75.5,0.0,0.0,,,,,MMIT
MWG,MODERN WATER,GBX,0.55,-0.07,-12.0,,,,,MWG
MNDI,MONDI,GBX,1300.0,-157.0,-10.78,,,,,MNDI
MONY,MONEYSUP.,GBX,275.9,-27.9,-9.18,,,,,MONY
MNKS,MONKS INV.TST.,GBX,785.0,-55.0,-6.55,,,,,MNKS
MTE,MONTANARO,GBX,862.0,-48.0,-5.27,,,,,MTE
MTU,MONTANARO UK,GBX,106.0,-7.0,-6.19,,,,,MTU
MGAM,MORGAN ADVANCED,GBX,242.2,-11.8,-4.65,,,,,MGAM
MGNS,MORGN SINDL GRP,GBX,1542.0,-158.0,-9.29,,,,,MGNS
MRW,MORRISON (WM),GBX,164.85,-12.0,-6.79,,,,,MRW
MCL,MORSES CLUB,GBX,68.0,-7.25,-9.63,,,,,MCL
MAB1,MORTGAGE AD,GBX,533.0,0.0,0.0,,,,,MAB1
MSMN,MOSMAN OIL GAS,GBX,0.05,-0.06,-52.38,,,,,MSMN
MOSB,MOSS BROS.,GBX,20.5,0.0,0.0,,,,,MOSB
MTC,MOTHERCARE,GBX,10.65,0.0,0.0,,,,,MTC
MTFB,MOTIF BIO,GBX,0.08,-0.05,-36.76,,,,,MTFB
MOTR,MOTORPOINT,GBX,240.0,-10.0,-4.0,,,,,MOTR
MOGP,MOUNTFIELD,GBX,1.25,-0.15,-10.71,,,,,MOGP
MTVW,MOUNTVIEW EST.,GBX,10900.0,0.0,0.0,,,,,MTVW
MPAC,MPAC GROUP PLC,GBX,230.0,-31.5,-12.05,,,,,MPAC
MSI,MS INTL.,GBX,136.0,-6.0,-4.22,,,,,MSI
MWE,MTI WIRELESS,GBX,32.0,-3.0,-8.57,,,,,MWE
MUL,MULBERRY GROUP,GBX,182.50,0.0,0.0,,,,,MUL
MUT,MURRAY INC.TST.,GBX,704.00,-60.0,-7.85,,,,,MUT
MYI,MURRAY INTL.TST,GBX,941.00,-53.0,-5.33,,,,,MYI
MSD,MUSEDIA CORP,GBX,-,0.0,0.0,,,,,MSD
MUST,MUSTANG ENERGY,GBX,11.00,0.0,0.0,,,,,MUST
SHWE,MYANMAR STRAT.,USD,10.25,0.0,0.0,,,,,SHWE
MYX,MYCELX DI,GBX,47.50,0.0,0.0,,,,,MYX
N4P,N4 PHARMA PLC,GBX,2.60,-0.15,-5.46,,,,,N4P
NAH,NAHL GROUP,GBX,54.00,0.0,0.0,,,,,NAH
NAK,NAKAMA GROUP,GBX,0.55,0.0,0.0,,,,,NAK
WINE,NAKED WINE,GBX,211.00,-12.0,-5.38,,,,,WINE
NANO,NANOCO,GBX,8.55,0.0,0.0,,,,,NANO
NEX,NAT.EXPRESS,GBX,276.00,-63.4,-18.68,,,,,NEX
NG.,NATIONAL GRID,GBX,835.60,-89.6,-9.68,,,,,NG.
NWOR,NATIONAL WORLD.,GBX,11.00,0.0,0.0,,,,,NWOR
NBS,NATIONWIDE CCDS,GBP,159.00,-5.0,-3.05,,,,,NBS
NBLU,NB GLOBAL $,USD,0.81,0.0,0.0,,,,,NBLU
NCC,NCC GRP,GBX,165.40,-17.2,-9.42,,,,,NCC
NCCL,NCONDEZI ENRG,GBX,3.80,-0.3,-7.32,,,,,NCCL
NKTN,NEKTAN,GBX,1.75,0.0,0.0,,,,,NKTN
NET,NETCALL,GBX,31.5,-2.5,-7.35,,,,,NET
